Loan_amt,Loan_term,emp_length,Home,Income_source_verified,Income_verified,Income_thou,Debt_income,delinq_2yrs,Credit_history_length,FICO,open_acc,Derogatory_recs,Revol_balance,Revol_util,Loan_rate
12000,60,10+ years,MORTGAGE,1,0,58,10.86,0,14.00547945,732,4,0,7782,0.961,13.65
8000,36,n/a,RENT,0,1,30,22.64,0,13.84383562,707,7,1,4667,0.481,7.9
8000,36,8 years,RENT,1,0,50,19.76,0,9.421917808,697,11,0,4532,0.449,9.17
30000,60,1 year,MORTGAGE,1,0,160,15.89,1,20.9260274,697,18,0,44221,0.545,20.2
35000,60,10+ years,MORTGAGE,0,0,107,17.55,0,26.26575342,737,34,0,58876,0.315,11.67
13700,60,10+ years,OWN,0,1,140,14.77,0,21.76438356,727,13,0,17503,0.689,10.99
11400,36,5 years,RENT,1,0,67,16.19,0,14.84383562,672,12,1,4561,0.233,9.17
15000,36,1 year,MORTGAGE,0,0,111,14.92,0,15.26027397,717,10,0,27003,0.507,7.62
33000,60,4 years,MORTGAGE,1,0,108,16.76,0,19.2630137,697,9,0,32971,0.738,14.49
20000,60,10+ years,MORTGAGE,1,0,55,15.08,0,23.09863014,742,11,0,2612,0.097,14.49
12000,36,5 years,MORTGAGE,1,0,35,21.09,0,18.26027397,672,12,1,11759,0.523,14.49
13250,36,5 years,OWN,0,1,32,12.6,0,16.51232877,682,7,0,13227,0.827,21.48
35000,60,10+ years,RENT,0,1,113,15.36,0,22.0109589,682,19,0,33764,0.842,21.18
26000,60,7 years,MORTGAGE,0,1,71.422,18.48,0,18.26027397,677,12,0,18255,0.654,18.24
16000,60,10+ years,MORTGAGE,0,0,102,18.39,0,25.01369863,707,11,0,60764,0.931,14.49
7200,36,3 years,RENT,1,0,24,11.99,0,7.673972603,717,8,0,8251,0.425,10.15
12000,36,4 years,MORTGAGE,0,0,54,5.44,0,9.756164384,707,5,0,12755,0.657,8.9
20000,36,10+ years,MORTGAGE,1,0,119,13.34,0,21.9260274,747,7,0,20849,0.761,6.03
15000,36,6 years,MORTGAGE,0,0,90,14.01,0,17.76164384,707,11,0,12825,0.47,8.9
14600,36,8 years,RENT,1,0,50,14.52,0,13.33972603,667,7,0,5803,0.592,14.16
10325,36,10+ years,RENT,1,0,97.5,17.66,0,36.77534247,667,10,1,5533,0.416,11.67
12000,36,3 years,MORTGAGE,1,0,120,12,0,13.09041096,682,12,3,4991,0.485,14.99
6000,36,< 1 year,RENT,0,1,30,11.52,0,16.26027397,692,9,0,6379,0.428,13.53
1800,36,3 years,RENT,0,0,28,17.92,0,11.84383562,722,3,0,318,0.091,9.17
9125,36,1 year,MORTGAGE,1,0,51,17.32,0,7.673972603,687,8,0,13137,0.597,9.67
8000,36,5 years,OWN,0,0,50,24.32,0,22.43013699,697,10,0,12301,0.6,8.39
32500,36,2 years,OWN,0,1,65,23.36,1,25.6,702,16,0,36542,0.485,14.49
20000,60,5 years,MORTGAGE,0,1,150,15.83,0,20.09589041,742,12,0,25372,0.417,8.9
4800,36,7 years,OWN,0,0,76,4.09,3,17.34246575,702,8,0,11445,0.548,8.9
18000,36,< 1 year,RENT,0,1,45,16.91,0,10.16986301,742,5,0,12683,0.518,7.62
6000,36,6 years,RENT,0,0,63,10.4,0,15.92328767,687,4,0,6031,0.685,13.53
12000,60,4 years,RENT,1,0,72,20.2,1,12.09041096,672,10,0,5410,0.371,15.61
18000,60,3 years,MORTGAGE,0,1,130,23.13,0,13.42465753,667,14,0,48088,0.912,15.61
10000,36,10+ years,OWN,0,1,28.5,26.02,0,13.50958904,697,14,0,6704,0.382,10.99
15350,36,7 years,RENT,1,0,82,21.73,0,14.92328767,697,11,1,13267,0.667,12.99
10000,36,6 years,RENT,1,0,40,17.7,0,5.838356164,717,5,0,2506,0.808,17.57
28000,60,10+ years,MORTGAGE,1,0,112,22.67,0,15.59452055,697,15,0,31168,0.616,18.25
24000,36,3 years,OWN,0,1,85,14.71,0,14.17260274,687,10,0,25572,0.82,14.98
10500,36,3 years,RENT,0,0,50,15.28,0,7.169863014,692,13,0,9301,0.332,7.69
15000,36,3 years,MORTGAGE,0,0,78.513,13.22,0,17.00821918,692,11,0,13326,0.572,10.15
1200,36,8 years,RENT,0,0,42,5.58,0,15.92328767,782,9,0,5181,0.139,11.67
19075,36,3 years,RENT,0,0,48.822,21.85,0,13.42465753,722,10,0,17998,0.909,11.99
15000,36,10+ years,MORTGAGE,0,0,95,18.95,1,30.43561644,682,15,0,9611,0.465,14.99
15000,36,10+ years,MORTGAGE,1,0,73.5,31.67,0,25.18082192,677,33,1,10608,0.376,16.99
10000,36,10+ years,MORTGAGE,0,0,73,29.18,0,48.03013699,692,11,0,35787,0.879,7.69
30000,60,10+ years,MORTGAGE,0,1,91,28.06,1,19.17808219,697,10,0,39154,0.817,16.24
24000,60,10+ years,MORTGAGE,1,0,58,27.56,0,17.76164384,672,20,1,17781,0.659,13.98
30000,36,6 years,RENT,0,1,97.5,10.01,0,46.11232877,707,8,0,23811,0.788,14.98
10000,36,10+ years,MORTGAGE,0,0,90,17.33,0,13.17260274,702,14,0,19889,0.62,14.98
15250,36,10+ years,MORTGAGE,0,1,44,16.48,0,20.17808219,682,8,0,14640,0.866,9.67
15000,36,7 years,MORTGAGE,0,0,70,10.08,0,13.50958904,752,14,0,22589,0.246,7.9
35000,60,10+ years,MORTGAGE,0,1,90,18.15,0,16.00821918,697,11,0,13361,0.825,17.57
32000,60,10+ years,MORTGAGE,0,1,85,20.19,0,24.6,727,16,0,43623,0.556,22.15
15000,36,10+ years,RENT,0,0,100.5,6.31,0,18.26027397,742,8,0,18638,0.416,9.17
6000,36,n/a,MORTGAGE,0,1,25,12.05,0,24.68493151,662,16,1,4946,0.195,10.99
15000,36,9 years,MORTGAGE,0,0,57,6.34,0,18.51232877,702,11,0,10849,0.397,9.67
14375,60,10+ years,RENT,0,1,36,6.67,0,15.00821918,677,2,0,8658,0.534,19.47
3950,36,4 years,RENT,0,0,48,24.33,0,19.09589041,692,8,0,5173,0.428,13.98
3775,36,4 years,MORTGAGE,0,1,51.151,33.22,0,13.17260274,732,11,0,11819,0.354,11.99
16000,36,3 years,RENT,1,0,86,6.49,0,7.506849315,707,6,0,11824,0.558,14.49
28000,60,10+ years,RENT,0,1,80,19.98,0,18.67945205,667,25,0,30327,0.368,22.15
28000,36,< 1 year,MORTGAGE,1,0,65,26.89,0,22.09589041,782,11,0,14775,0.271,9.17
25000,36,4 years,RENT,0,1,85,15.53,0,14.67671233,702,20,0,19294,0.42,14.47
20000,36,10+ years,MORTGAGE,1,0,143,10.75,0,12.92054795,702,8,0,38425,0.699,7.69
16100,36,n/a,RENT,0,1,36.815,17.8,0,55.03561644,712,14,0,24113,0.4,8.9
15000,36,10+ years,MORTGAGE,0,0,70,24.88,0,12.59178082,712,10,1,9476,0.581,10.99
15000,36,3 years,MORTGAGE,1,0,68,21.06,0,11.42465753,727,10,0,11751,0.472,6.62
8400,36,5 years,MORTGAGE,0,0,65,24.3,0,19.2630137,772,15,0,13899,0.284,6.03
35000,60,10+ years,OWN,0,1,80,17.78,1,14.92328767,692,14,0,33297,0.902,20.99
10000,36,8 years,RENT,1,0,45,9.28,1,31.43835616,667,10,3,9557,0.559,11.99
25000,60,7 years,RENT,1,0,80,16.65,2,17.67945205,692,13,0,25214,0.667,14.47
5600,36,n/a,RENT,0,1,13.356,21.38,0,32.52328767,667,4,1,8326,0.778,12.85
11200,36,5 years,RENT,0,1,37,16.77,0,14.42465753,662,9,1,11346,0.709,9.67
2500,36,10+ years,RENT,0,1,68,15.46,0,23.51780822,672,4,0,30842,0.952,22.4
4000,36,5 years,MORTGAGE,0,0,38,6.63,0,20.84931507,667,5,0,2572,0.677,13.53
22800,36,10+ years,MORTGAGE,0,1,60,18.16,0,20.34520548,742,10,0,28692,0.648,13.53
8000,36,10+ years,RENT,0,1,120,26.71,0,20.84931507,727,25,0,20280,0.398,10.99
15000,36,2 years,MORTGAGE,0,0,90,3.97,0,15.84657534,717,5,0,12629,0.775,11.99
22000,60,10+ years,MORTGAGE,0,1,50,13.83,0,13.33972603,672,6,0,10624,0.72,17.57
15000,36,7 years,RENT,0,0,67,11.18,0,7.336986301,667,11,0,13066,0.568,13.53
16000,36,8 years,OWN,0,1,56,8.08,0,7.336986301,697,8,0,11393,0.435,7.62
6000,36,10+ years,MORTGAGE,0,1,56.2,6.04,0,26.76712329,677,16,1,6905,0.277,13.98
12000,60,10+ years,MORTGAGE,0,1,48,24.95,0,12.33972603,722,10,0,9713,0.517,15.61
10000,36,< 1 year,RENT,0,1,150,10.32,4,20.17808219,682,10,0,4311,0.423,10.99
10000,36,2 years,MORTGAGE,1,0,150,8.64,0,13.59178082,662,7,0,10513,0.828,10.99
12075,60,10+ years,RENT,0,1,57.154,15.62,0,26.85205479,707,6,0,7346,0.864,19.97
35000,36,10+ years,RENT,0,1,175,12.8,0,15.26027397,667,12,0,35245,0.886,23.4
20000,36,10+ years,MORTGAGE,1,0,109,15.84,0,23.18082192,732,11,0,19974,0.491,7.62
17225,60,7 years,MORTGAGE,0,0,43.2,23.35,0,19.2630137,687,23,1,10548,0.533,18.24
15000,36,10+ years,MORTGAGE,0,0,100,11.28,0,28.35068493,697,11,0,28629,0.635,12.85
6950,36,6 years,OWN,0,0,35,5.01,0,7.336986301,687,5,0,4244,0.745,16.24
21000,60,10+ years,MORTGAGE,0,1,110,14.06,0,21.0109589,717,11,0,29236,0.788,14.16
27050,60,9 years,OWN,0,1,65,32.16,0,18.9260274,702,11,0,31867,0.736,24.08
10600,36,< 1 year,RENT,0,0,33,8.1,0,9.336986301,697,7,0,8570,0.697,14.98
27500,60,6 years,MORTGAGE,1,0,115,14.16,0,16.34246575,692,17,0,33533,0.636,14.49
12450,36,2 years,MORTGAGE,1,0,45,25.08,1,15.59452055,672,11,0,19246,0.925,24.5
5000,36,3 years,MORTGAGE,0,0,95,10.18,0,23.43287671,687,15,1,13882,0.477,8.9
10000,60,< 1 year,RENT,1,0,38,18.57,0,17.92328767,662,5,1,7822,0.806,16.24
29175,60,< 1 year,MORTGAGE,1,0,70,29.92,0,10.75616438,682,10,0,15219,0.855,19.22
18000,36,8 years,MORTGAGE,0,1,253,7.6,0,19.68219178,662,14,3,25735,0.611,23.7
8325,60,10+ years,OWN,0,1,51.3,21.4,2,14.84383562,697,12,0,4619,0.3,22.9
28000,60,3 years,MORTGAGE,1,0,120,14.02,0,9.169863014,682,9,0,25287,0.712,14.98
24000,60,10+ years,RENT,0,1,68,16.55,0,16.76164384,722,8,0,13293,0.482,13.98
13850,60,7 years,OWN,0,1,110,12.91,1,6.917808219,687,14,0,13883,0.884,19.97
18000,60,1 year,RENT,0,1,85,22.72,0,16.34246575,687,13,0,17303,0.546,17.57
25000,36,9 years,MORTGAGE,1,0,110,27.7,0,14.50958904,687,17,0,43652,0.726,16.24
9500,36,10+ years,MORTGAGE,0,0,52,2.52,0,18.9260274,672,6,2,5923,0.449,10.99
14000,36,6 years,MORTGAGE,0,1,130,7.38,1,27.10136986,662,10,1,12569,0.791,13.53
29175,36,10+ years,OWN,0,1,70,19.53,0,14.67671233,692,11,0,10835,0.589,13.98
10400,36,2 years,RENT,0,0,50,22.85,0,18.59452055,672,17,0,23373,0.312,17.57
9000,36,4 years,MORTGAGE,1,0,65,5.74,0,15.26027397,667,8,1,8077,0.59,12.85
8000,36,< 1 year,MORTGAGE,1,0,75,14.43,1,11.59178082,682,13,0,10885,0.772,14.98
30000,36,10+ years,RENT,1,0,135,9.99,2,25.76712329,682,13,0,34707,0.768,19.97
30000,60,10+ years,MORTGAGE,0,1,134,13.66,0,26.01369863,697,26,0,19487,0.353,16.24
12000,36,10+ years,MORTGAGE,0,0,107,18.57,0,11.50958904,677,12,0,15792,0.806,12.85
2500,36,3 years,RENT,0,0,110,6.11,0,23.18082192,667,16,0,10176,0.388,14.98
15000,60,10+ years,RENT,0,1,45,6.44,0,16.92328767,712,11,0,12763,0.456,20.5
17000,60,5 years,MORTGAGE,0,1,60,34.46,0,17.26027397,747,12,0,28417,0.321,12.85
7200,36,10+ years,RENT,1,0,50,13.51,0,13.42465753,667,13,0,7910,0.676,18.25
18725,36,10+ years,MORTGAGE,1,0,56.4,6.85,0,11.67671233,662,4,1,11400,0.974,14.98
15000,36,5 years,MORTGAGE,0,1,96,12.39,0,12.59178082,697,11,0,136271,0.394,15.61
11200,36,6 years,MORTGAGE,0,1,65,15.55,0,19.17808219,687,17,0,37686,0.821,15.61
31000,36,10+ years,MORTGAGE,0,1,140,14.02,0,19.68219178,727,7,0,41030,0.939,8.9
12000,36,< 1 year,RENT,0,1,100,17.18,0,14.84383562,707,11,0,10467,0.54,7.9
15825,36,2 years,RENT,1,0,60,23.45,0,8.84109589,692,34,0,21219,0.564,16.59
22000,36,4 years,MORTGAGE,0,1,95,10.13,0,17.26027397,782,15,0,31418,0.038,6.03
29700,60,9 years,MORTGAGE,0,1,59.892,16.95,0,15.34246575,762,8,0,11720,0.732,13.98
13700,60,2 years,RENT,1,0,43,30.11,0,15.17534247,662,12,1,10502,0.71,20.5
8975,36,2 years,RENT,0,0,80,27.15,0,12.33972603,672,15,0,2584,0.469,15.61
7000,36,10+ years,MORTGAGE,0,1,299,24.99,0,35.44109589,677,27,0,128405,0.813,13.98
24000,60,10+ years,MORTGAGE,1,0,100,19.63,0,24.6,702,19,0,19363,0.356,14.98
6000,36,< 1 year,RENT,1,0,42,9.77,0,10.25479452,712,9,0,4516,0.23,7.9
8000,36,7 years,MORTGAGE,0,1,85,26.51,0,13.75890411,707,14,1,15690,0.467,13.53
28650,60,2 years,RENT,1,0,150,11.87,0,13.17260274,707,8,0,39764,0.868,13.98
19200,60,5 years,MORTGAGE,0,1,75,12.99,0,14.00547945,687,14,0,17182,0.682,18.25
5000,36,10+ years,MORTGAGE,0,0,133,12.24,0,17.76164384,692,11,0,10860,0.876,10.99
5000,36,10+ years,MORTGAGE,0,1,44,8.65,0,21.09589041,697,17,0,6424,0.203,7.62
7500,36,10+ years,RENT,0,1,49.74,29.58,0,11.25753425,662,10,0,4630,0.609,16.24
25000,36,10+ years,MORTGAGE,1,0,100,20.54,0,13.17260274,742,12,0,8859,0.307,11.99
10000,36,6 years,RENT,0,1,39,17.75,0,19.51506849,707,13,1,5112,0.588,11.99
8000,36,3 years,RENT,0,1,36,30.9,1,12.75890411,712,14,0,923,0.151,11.99
12350,36,2 years,MORTGAGE,0,0,27.5,28.08,0,14.00547945,702,28,0,7120,0.281,12.85
15000,60,3 years,MORTGAGE,1,0,135,5.32,0,27.01643836,677,8,0,4992,0.567,17.57
11500,36,1 year,MORTGAGE,0,0,52,16.52,1,14.84383562,662,6,0,5787,0.901,18.25
24000,60,10+ years,MORTGAGE,1,0,75,18.67,1,31.85753425,672,15,0,16444,0.63,20.99
24925,60,5 years,OWN,0,1,55,22.7,0,7.84109589,702,14,0,36214,0.415,16.99
16450,60,10+ years,MORTGAGE,1,0,55,18.26,0,16.17534247,662,12,0,16627,0.857,25.89
16000,60,10+ years,MORTGAGE,1,0,60,15,0,17.09315068,682,11,0,35449,0.677,14.47
9000,36,10+ years,RENT,0,1,55,5.45,0,12.75890411,682,4,0,6414,0.972,14.98
8875,36,8 years,MORTGAGE,0,0,75,17.86,0,8.002739726,692,10,0,9303,0.642,18.25
12000,60,10+ years,RENT,1,0,64,20.05,0,20.59726027,717,14,0,10864,0.349,14.98
35000,36,1 year,RENT,0,1,174.8,8.59,3,26.09863014,667,16,0,20298,0.604,16.24
10800,36,< 1 year,MORTGAGE,1,0,78,14.55,4,9.756164384,667,16,0,14311,0.883,13.98
18000,36,4 years,MORTGAGE,0,0,163.825,11.06,0,22.84931507,692,10,0,7591,0.584,8.9
20000,36,10+ years,MORTGAGE,1,0,110,14.65,0,22.51506849,662,9,0,29901,0.797,8.9
24000,60,10+ years,MORTGAGE,1,0,220,2.76,0,27.35068493,667,18,0,10587,0.329,16.24
28000,60,5 years,MORTGAGE,1,0,88,25.54,0,16.59452055,702,24,0,38401,0.639,13.53
12000,36,2 years,MORTGAGE,0,1,36,25.47,0,15.17534247,682,9,0,3787,0.505,16.99
15250,60,10+ years,RENT,0,1,45,18.91,0,12.25753425,672,8,0,14310,0.822,24.08
4200,36,9 years,RENT,0,1,48,15.05,0,6.504109589,717,8,0,6969,0.408,19.97
10000,36,5 years,MORTGAGE,0,0,130,6.21,0,16.92328767,772,15,0,9187,0.254,7.62
18000,36,10+ years,RENT,0,1,66.036,7.72,1,18.09315068,662,5,0,6481,0.523,12.85
22550,36,10+ years,MORTGAGE,1,0,69,21.11,0,10.5890411,672,22,0,30366,0.44,13.98
10000,36,3 years,RENT,0,0,45,12.48,0,16.34246575,682,5,0,5969,0.519,12.85
5000,36,10+ years,RENT,0,1,50,26.98,0,36.77534247,677,7,1,3021,0.328,9.67
15600,60,7 years,MORTGAGE,0,0,40,24.66,0,20.76438356,672,14,1,13140,0.576,19.52
16000,36,< 1 year,RENT,0,0,65,7.34,0,12.33972603,667,11,0,15841,0.932,11.99
7950,36,< 1 year,MORTGAGE,0,1,22.817,5.47,0,18.26027397,687,8,3,5214,0.341,15.61
11250,60,5 years,MORTGAGE,0,1,83.2,15.79,0,18.26027397,707,16,1,11370,0.539,16.99
5050,36,2 years,RENT,1,0,115,8.15,0,19.84931507,667,5,0,12581,0.892,19.97
9000,36,n/a,MORTGAGE,0,1,55,17.93,0,42.02465753,712,9,0,21466,0.72,23.4
10000,36,7 years,MORTGAGE,0,1,70,29.85,0,14.92328767,697,13,0,6391,0.288,13.53
30000,36,9 years,MORTGAGE,0,1,70,18.17,0,19.34520548,682,8,0,34900,0.851,12.85
12600,60,5 years,MORTGAGE,1,0,53,19.36,0,23.34794521,732,11,0,23933,0.506,13.53
29750,60,10+ years,MORTGAGE,1,0,97.2,13.35,0,17.76164384,722,11,0,3,0,19.22
16000,36,10+ years,RENT,0,1,46,14.65,0,15.26027397,722,16,0,8138,0.336,16.24
28000,36,3 years,MORTGAGE,0,1,111,14.85,0,27.60273973,702,13,0,15280,0.844,9.67
14800,36,1 year,RENT,1,0,49.84,16.05,0,25.18082192,737,16,1,15700,0.265,14.47
29100,60,10+ years,MORTGAGE,1,0,59.207,21.93,0,13.09041096,712,11,0,38347,0.722,16.99
7500,36,2 years,MORTGAGE,1,0,140,10.42,0,24.43287671,737,17,0,30712,0.262,11.99
20000,60,2 years,RENT,1,0,59,14.38,0,18.51232877,682,16,1,6456,0.394,22.4
25000,36,3 years,RENT,0,1,65,11.1,0,8.589041096,687,10,0,21379,0.423,11.99
10625,60,1 year,MORTGAGE,1,0,51.84,17.15,0,16.76164384,687,8,0,30220,0.725,20.5
31825,60,10+ years,MORTGAGE,0,1,70,31.47,0,15.26027397,717,8,0,39028,0.875,20.5
35000,60,9 years,MORTGAGE,0,1,120,20.46,0,12.50958904,687,24,0,31326,0.688,19.22
7200,36,5 years,OWN,0,0,25,22.27,1,21.09589041,687,6,0,788,0.094,23.4
9800,36,4 years,MORTGAGE,0,0,63,20.99,0,16.59452055,672,14,1,4616,0.839,11.99
5000,36,10+ years,MORTGAGE,0,1,53,14.42,1,15.92328767,662,13,1,6003,0.296,15.61
8000,36,< 1 year,OWN,1,0,30,12.66,0,7.673972603,667,11,0,8538,0.469,20.5
19500,60,10+ years,MORTGAGE,1,0,54,26.24,0,14.92328767,672,10,0,8607,0.47,15.61
5000,36,10+ years,RENT,0,1,52,20.96,0,21.0109589,667,11,3,9217,0.463,16.24
28100,36,10+ years,MORTGAGE,1,0,74,20.97,0,11.50958904,707,11,0,8239,0.479,14.47
28000,36,6 years,MORTGAGE,1,0,94.5,28.42,0,20.2630137,742,18,0,182166,0.607,7.12
8200,36,n/a,RENT,0,1,21,10.69,0,17.34246575,767,15,0,8083,0.198,13.53
2700,36,9 years,RENT,0,0,52,11.47,0,22.51506849,662,6,1,74,0.025,19.22
8500,36,10+ years,MORTGAGE,1,0,140,14.03,0,14.59178082,682,7,0,7866,0.915,7.9
10000,60,10+ years,MORTGAGE,1,0,60,6.56,0,8.506849315,662,17,0,5657,0.479,19.22
28000,36,10+ years,RENT,1,0,160,12.69,0,21.34520548,672,16,1,17805,0.618,14.47
15000,36,8 years,RENT,0,0,50,18.39,1,11.33972603,662,14,0,15970,0.501,12.85
15000,36,10+ years,MORTGAGE,0,0,110,14.66,1,16.17534247,702,15,0,13581,0.62,11.99
25000,60,n/a,MORTGAGE,0,1,70,27.88,0,17.59452055,672,29,0,32188,0.523,22.4
16000,60,5 years,OWN,0,1,81,6.25,0,35.60821918,662,7,0,15761,0.808,15.61
6000,36,3 years,RENT,0,0,81,12.7,0,19.2630137,682,10,0,16322,0.524,13.98
17500,36,10+ years,MORTGAGE,0,0,136,18.77,0,29.85479452,712,19,0,24870,0.689,15.61
8000,36,3 years,MORTGAGE,0,0,43,17.44,3,17.42739726,672,8,0,6403,0.604,13.53
24000,60,8 years,RENT,0,1,85,22.11,1,19.2630137,677,27,0,25014,0.399,14.47
21725,60,3 years,MORTGAGE,0,1,50,24.15,0,15.09315068,677,10,0,23366,0.844,18.25
9600,36,10+ years,RENT,0,0,62,16.01,2,31.52328767,677,15,0,15399,0.604,9.67
6000,36,6 years,MORTGAGE,0,0,42,17.41,0,32.18630137,787,6,0,1996,0.281,6.03
15000,36,7 years,MORTGAGE,0,1,58,16.33,0,15.67945205,692,14,0,15110,0.487,9.67
6625,36,< 1 year,RENT,1,0,48.308,23.5,0,9.421917808,712,14,0,1294,0.122,16.24
12000,36,7 years,RENT,0,0,45,15.74,0,27.10136986,712,5,0,11697,0.936,13.98
6000,36,7 years,OWN,1,0,173,20.47,0,18.51232877,717,12,0,16112,0.995,10.99
18000,36,8 years,MORTGAGE,0,0,85,19.58,0,23.34794521,697,14,0,25148,0.638,14.98
10000,36,9 years,MORTGAGE,0,0,29.376,4,1,9.336986301,682,3,1,3652,0.609,12.85
6075,36,2 years,RENT,0,0,19,20.4,0,12.42465753,687,9,0,3626,0.576,16.24
35000,36,< 1 year,MORTGAGE,0,1,171,6.8,0,27.35068493,752,6,0,34409,0.47,13.98
10000,36,3 years,RENT,1,0,35,24.04,1,16.26027397,667,6,0,6685,0.942,14.47
28000,36,10+ years,OWN,1,0,125,30.23,0,45.11232877,737,19,0,50249,0.461,9.67
18000,36,2 years,MORTGAGE,0,0,65,20.49,0,11.75890411,672,16,0,12000,0.863,10.99
35000,60,2 years,MORTGAGE,0,1,120,27.4,0,19.68219178,707,12,0,28470,0.512,18.25
7200,36,8 years,MORTGAGE,0,1,33,5.49,1,10.25479452,672,9,0,4320,0.281,20.5
